trade_date,Open,High,Low,Close,Adj Close,Prev Close,Volume,Returns,Log_Returns,Volatility,Cumulative_Returns,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,BB_Middle,BB_Upper,BB_Lower,BB_Bandwidth,BB_Percent_B,RSI,Williams_R,CCI,MACD_MACD,MACD_Signal,MACD_Histogram,Stoch_K,Stoch_D,ATR,Keltner_Middle,Keltner_Upper,Keltner_Lower,OBV,Volume_SMA
2025-01-14,0.499,0.513,0.499,0.512,0.512,0.499,1234376.0,,,,,,,,0.512,0.512,,,,,,,,,0.0,0.0,0.0,,,,0.512,,,0.0,
2025-01-15,0.51,0.511,0.504,0.506,0.506,0.512,738015.0,-0.01171875,-0.01178795575204224,,0.98828125,,,,0.5087499999999999,0.5088846153846154,,,,,,,,,-0.0001346153846154552,-7.4786324786364e-05,-5.98290598290912e-05,,,,0.50885,,,-738015.0,
2025-01-16,0.507,0.513,0.503,0.506,0.506,0.506,829977.0,0.0,0.0,,0.98828125,,,,0.507676674364896,0.507848201084278,,,,,,,,,-0.00017152671938192032,-0.00011443402748946083,-5.709269189245949e-05,,,,0.5078034970857619,,,-738015.0,
2025-01-17,0.505,0.51,0.503,0.508,0.508,0.506,500052.0,0.0039525691699604515,0.003944778291016325,,0.9921875,,,,0.5077787356321839,0.507890637427565,,,,,,,,,-0.00011190179538111966,-0.00011357622528473821,1.6744299036185477e-06,,,,0.5078602244389028,,,-237963.0,
2025-01-20,0.511,0.519,0.51,0.512,0.512,0.508,990480.0,0.007874015748031482,0.007843177461025879,,1.0,,,,0.5089256380742192,0.5088436155575852,,,,,,,,,8.202251663402826e-05,-5.539002171537647e-05,0.00013741253834940472,,,,0.5088616009184069,,,752517.0,
2025-01-21,0.516,0.516,0.508,0.512,0.512,0.512,596776.64,0.0,0.0,,1.0,,,,0.5096728697637638,0.5094758141869816,,,,,,,,,0.0001970555767821791,1.3036771181220032e-05,0.00018401880560095908,,,,0.509523659770704,,,752517.0,
2025-01-22,0.512,0.512,0.503,0.506,0.506,0.512,792867.0,-0.01171875,-0.01178795575204224,,0.98828125,,,,0.5088532817263707,0.5088576586519701,,,,,,,,,-4.376925599403059e-06,8.629829081201636e-06,-1.3006754680604695e-05,,,,0.5088574229250222,,,-40350.0,
2025-01-23,0.509,0.513,0.505,0.505,0.505,0.506,817083.0,-0.0019762845849802257,-0.0019782400121057075,,0.986328125,,,,0.5080491612211173,0.5082360942568149,,,,,,,,,-0.00018693303569761177,-3.83676048856345e-05,-0.00014856543081197726,,,,0.5081906479896919,,,-857433.0,
2025-01-24,0.503,0.511,0.503,0.508,0.508,0.505,772452.0,0.005940594059405946,0.005923018303122071,,0.9921875,,,,0.5080394353817862,0.5082010999049926,,,,,,,,,-0.00016166452320642843,-6.684980469690389e-05,-9.481471850952455e-05,,,,0.5081600671199221,,,-84981.0,
2025-01-27,0.508,0.513,0.508,0.509,0.509,0.508,657545.0,0.0019685039370078705,0.0019665689720408473,,0.994140625,,,,0.5082214620036196,0.5083113403426583,,,,,,,,,-8.987833903872922e-05,-7.200953319405673e-05,-1.7868805844672484e-05,,,,0.5082865537337827,,,572564.0,
