Date,Adj Close,Close,High,Low,Open,Volume,Returns,Log_Returns,Volatility,Cumulative_Returns,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,BB_Middle,BB_Upper,BB_Lower,BB_Bandwidth,BB_Percent_B,RSI,Williams_R,CCI,MACD_MACD,MACD_Signal,MACD_Histogram,Stoch_K,Stoch_D,ATR,Keltner_Middle,Keltner_Upper,Keltner_Lower,OBV,Volume_SMA
2025-01-15,428.2200012207031,428.2200012207031,429.79998779296875,405.6600036621094,409.8999938964844,81375500,,,,,,,,428.2200012207031,428.2200012207031,,,,,,,,,0.0,0.0,0.0,,,,428.2200012207031,,,0,
2025-01-16,413.82000732421875,413.82000732421875,424.0,409.1300048828125,423.489990234375,68335200,-0.03362756026209679,-0.03420597069137618,,0.9663724397379032,,,,420.42000452677405,420.74308131291315,,,,,,,,,-0.3230767861390973,-0.1794871034106096,-0.14358968272848768,,,,420.66000442504884,,,-68335200,
2025-01-17,426.5,426.5,439.739990234375,419.75,421.5,94991400,0.030641323404759335,0.03018125256143425,,0.9959833701933586,,,,422.7930281641301,422.8114863020144,,,,,,,,,-0.018458137884294956,-0.11349162573589049,0.09503348785159553,,,,422.80441578937314,,,26656200,
2025-01-21,424.07000732421875,424.07000732421875,433.20001220703125,406.30999755859375,432.6400146484375,87320900,-0.00569752092797482,-0.005713813715474868,,0.990308734097767,,,,423.19612058003736,423.16331378298315,,,,,,,,,0.03280679705420653,-0.06393253942488203,0.09673933647908856,,,,423.1697724977336,,,-60664700,
2025-01-22,415.1099853515625,415.1099853515625,428.0,414.5899963378906,416.80999755859375,60963300,-0.021128638710367298,-0.021355043154943146,,0.969384858643294,,,,420.9991465381193,421.295713702987,,,,,,,,,-0.29656716486766754,-0.13313608102494912,-0.16343108384271843,,,,421.2201785743747,,,-121628000,
2025-01-23,412.3800048828125,412.3800048828125,420.7300109863281,408.95001220703125,416.05999755859375,50690600,-0.006576523247056931,-0.006598243859181292,,0.9630096765850814,,,,418.9042416645222,419.5099683354486,,,,,,,,,-0.6057266709264013,-0.261234406416747,-0.3444922645096543,,,,419.35530572162986,,,-172318600,
2025-01-24,406.5799865722656,406.5799865722656,418.8800048828125,405.7799987792969,414.45001220703125,56427100,-0.014064741844588391,-0.014164587635274254,,0.9494651940900717,,,,416.15412725996345,417.21043810611513,,,,,,,,,-1.056310846151689,-0.46244704260434466,-0.5938638035473444,,,,416.9398090827614,,,-228745700,
2025-01-27,397.1499938964844,397.1499938964844,406.69000244140625,389.0,394.79998779296875,58125500,-0.023193450212053546,-0.023466650856007368,,0.9274438203828659,,,,412.18825753973,413.978203479722,,,,,,,,,-1.7899459399920374,-0.7814699912689057,-1.0084759487231318,,,,413.5190400881478,,,-286871200,
2025-01-28,398.0899963378906,398.0899963378906,400.5899963378906,386.5,396.9100036621094,48910700,0.0023668700890153715,0.0023640734639690623,,0.9296389594205722,,,,409.3991196749604,411.6232223884917,,,,,,,,,-2.2241027135312947,-1.1147253070493583,-1.1093774064819364,,,,411.0441460262609,,,-237960500,
2025-01-29,389.1000061035156,389.1000061035156,398.5899963378906,384.4800109863281,395.2099914550781,68033600,-0.02258280870425211,-0.02284170549807513,,0.9086451006359574,,,,405.55244554230836,408.51523775259943,,,,,,,,,-2.96279221029107,-1.5287995735120075,-1.4339926367790627,,,,407.7395486962289,,,-305994100,
2025-01-30,400.2799987792969,400.2799987792969,412.5,384.4100036621094,410.7799987792969,98092900,0.028732954254456988,0.028327903495885404,,0.9347531587460668,,,,404.5877149123479,407.44712464883463,,,,,,,,,-2.8594097364867253,-1.8199294741494632,-1.039480262337262,,,,406.67512444544076,,,-207901200,
2025-01-31,404.6000061035156,404.6000061035156,419.989990234375,401.3399963378906,401.5299987792969,83283600,0.010792463618949588,0.010734640646320742,,0.944841448204532,,,,404.5899002457873,407.0973112751707,,,,,,,,,-2.507411029383377,-1.9675716803505319,-0.539839349032845,,,,406.39243490289135,,,-124617600,
2025-02-03,383.67999267578125,383.67999267578125,389.1700134277344,374.3599853515625,386.67999267578125,93732100,-0.05170542044525339,-0.053090087069197885,,0.8959880238710145,,,,400.9591459350556,404.3539766251173,,,,,,,,,-3.394830690061724,-2.269629274123332,-1.1252014159383918,,,,403.42019317432437,,,-218349700,
