Date,Adj Close,Close,High,Low,Open,Volume
2025-11-26,4.584397792816162,4.584397792816162,4.615941047668457,4.58325719833374,4.583775043487549,0
2025-11-27,4.616250991821289,4.616250991821289,4.627579212188721,4.614553928375244,4.615880966186523,0
2025-11-28,4.624423980712891,4.624423980712891,4.641724109649658,4.614023208618164,4.624707221984863,0
2025-12-01,4.635180950164795,4.635180950164795,4.645263195037842,4.625629901885986,4.635169982910156,0
2025-12-02,4.6264119148254395,4.6264119148254395,4.646460056304932,4.623385906219482,4.626152992248535,0
2025-12-03,4.647188186645508,4.647188186645508,4.665882110595703,4.633254051208496,4.647500038146973,0
2025-12-04,4.664906978607178,4.664906978607178,4.678717136383057,4.6637067794799805,4.6647210121154785,0
2025-12-05,4.671296119689941,4.671296119689941,4.702480792999268,4.67196798324585,4.672061920166016,0
2025-12-08,4.690998077392578,4.690998077392578,4.700470924377441,4.676539897918701,4.6905741691589355,0
2025-12-09,4.686270236968994,4.686270236968994,4.705042839050293,4.678633213043213,4.685739994049072,0
2025-12-10,4.689925193786621,4.689925193786621,4.699673175811768,4.682488918304443,4.689748764038086,0
2025-12-11,4.714478015899658,4.714478015899658,4.717868804931641,4.6815948486328125,4.714478015899658,0
2025-12-12,4.702254772186279,4.702254772186279,4.712313175201416,4.68150520324707,4.703383922576904,0
2025-12-15,4.688758850097656,4.688758850097656,4.695141792297363,4.6781511306762695,4.689075946807861,0
2025-12-16,4.680829048156738,4.680829048156738,4.693971157073975,4.6644158363342285,4.680088996887207,0
2025-12-17,4.670213222503662,4.670213222503662,4.670894145965576,4.651302814483643,4.670553207397461,0
2025-12-18,4.649331092834473,4.649331092834473,4.670269966125488,4.6432390213012695,4.648385047912598,0
2025-12-19,4.656198978424072,4.656198978424072,4.663557052612305,4.646735191345215,4.656164169311523,0
2025-12-22,4.6533660888671875,4.6533660888671875,4.688119888305664,4.6550211906433105,4.655688762664795,0
2025-12-23,4.68779182434082,4.68779182434082,4.717402935028076,4.685655117034912,4.68744421005249,0
2025-12-24,4.709743976593018,4.709743976593018,4.720989227294922,4.7073540687561035,4.7094621658325195,0
2025-12-26,4.712344169616699,4.712344169616699,4.725872993469238,4.706512928009033,4.712193012237549,0
2025-12-29,4.717966079711914,4.717966079711914,4.727945804595947,4.6865010261535645,4.718844890594482,0
2025-12-30,4.690214157104492,4.690214157104492,4.706117153167725,4.685625076293945,4.690255165100098,0
2025-12-31,4.6859869956970215,4.6859869956970215,4.688289165496826,4.659962177276611,4.684554100036621,0
2026-01-02,4.672476768493652,4.672476768493652,4.692318916320801,4.671384811401367,4.672414779663086,0
2026-01-05,4.6741180419921875,4.6741180419921875,4.698069095611572,4.6600470542907715,4.673943042755127,0
2026-01-06,4.6911492347717285,4.6911492347717285,4.709352970123291,4.684477806091309,4.691043853759766,0
2026-01-07,4.703797817230225,4.703797817230225,4.725038051605225,4.6928300857543945,4.704051971435547,0
2026-01-08,4.70294189453125,4.70294189453125,4.705461025238037,4.675491809844971,4.702977180480957,0
2026-01-09,4.678561210632324,4.678561210632324,4.68048095703125,4.653804779052734,4.677863121032715,0
2026-01-12,4.664571762084961,4.664571762084961,4.6900739669799805,4.663576126098633,4.664620876312256,0
2026-01-13,4.677066802978516,4.677066802978516,4.688364028930664,4.654195785522461,4.677555084228516,0
2026-01-14,4.663133144378662,4.663133144378662,4.676633834838867,4.658005237579346,4.663761138916016,0
2026-01-15,4.659632205963135,4.659632205963135,4.6786041259765625,4.649701118469238,4.660055160522461,0
2026-01-16,4.668211936950684,4.668211936950684,4.6736979484558105,4.647082805633545,4.6681599617004395,0
2026-01-19,4.658836841583252,4.658836841583252,4.679906845092773,4.65294885635376,4.660473823547363,0
2026-01-20,4.675421237945557,4.675421237945557,4.70099401473999,4.673503875732422,4.674898147583008,0
2026-01-21,4.685381889343262,4.685381889343262,4.717176914215088,4.682544231414795,4.685381889343262,0
2026-01-22,4.703282833099365,4.703282833099365,4.76080322265625,4.703561782836914,4.703561782836914,0
2026-01-23,4.769292831420898,4.769292831420898,4.797423839569092,4.765911102294922,4.768909931182861,0
2026-01-26,4.820228099822998,4.820228099822998,4.838601112365723,4.8161139488220215,4.8208208084106445,0
2026-01-27,4.808272838592529,4.808272838592529,4.855284214019775,4.799788951873779,4.807820796966553,0
2026-01-28,4.864603042602539,4.864603042602539,4.88372802734375,4.854172229766846,4.865645885467529,0
2026-01-29,4.895689964294434,4.895689964294434,4.933244228363037,4.847843170166016,4.894925117492676,0
2026-01-30,4.896613121032715,4.896613121032715,4.900205135345459,4.842720985412598,4.896603107452393,0
2026-02-02,4.827052116394043,4.827052116394043,4.844847202301025,4.80310583114624,4.827678203582764,0
