trade_date,Open,High,Low,Close,Adj Close,Prev Close,Volume,Returns,Log_Returns,Volatility,Cumulative_Returns,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,BB_Middle,BB_Upper,BB_Lower,BB_Bandwidth,BB_Percent_B,RSI,Williams_R,CCI,MACD_MACD,MACD_Signal,MACD_Histogram,Stoch_K,Stoch_D,ATR,Keltner_Middle,Keltner_Upper,Keltner_Lower,OBV,Volume_SMA
2025-05-29,0.994,1.02,0.992,1.017,1.017,0.995,1806144.49,,,,,,,,1.017,1.017,,,,,,,,,0.0,0.0,0.0,,,,1.017,,,0.0,
2025-05-30,1.015,1.026,1.009,1.022,1.022,1.017,488605.65,0.004916420845624492,0.004904374715089898,,1.0049164208456245,,,,1.0197083333333332,1.0195961538461538,,,,,,,,,0.00011217948717945347,6.23219373219186e-05,4.985754985753488e-05,,,,1.019625,,,488605.65,
2025-06-03,1.022,1.036,1.015,1.019,1.019,1.022,918798.28,-0.0029354207436400603,-0.002939737540925069,,1.0019665683382497,,,,1.0194318706697458,1.0193819615574173,,,,,,,,,4.990911232849449e-05,5.723471396395789e-05,-7.3256016354634015e-06,,,,1.0193955037468776,,,-430192.63,
2025-06-04,1.019,1.023,1.014,1.017,1.017,1.019,176034.36,-0.001962708537782132,-0.0019646371741648544,,1.0,,,,1.018664224137931,1.0187160691966821,,,,,,,,,-5.184505875122092e-05,2.0283571445265885e-05,-7.21286301964868e-05,,,,1.018703958852868,,,-606226.99,
2025-06-05,1.017,1.021,1.007,1.018,1.018,1.017,207199.43,0.000983284169125076,0.0009828010619082996,,1.000983284169125,,,,1.0184837568135765,1.0185500097964733,,,,,,,,,-6.625298289675285e-05,-5.459097028680665e-06,-6.079388586807219e-05,,,,1.018533677196919,,,-399027.56,
2025-06-06,1.022,1.031,1.014,1.016,1.016,1.018,143533.17,-0.0019646365422396617,-0.001966568972040827,,0.9990167158308754,,,,1.017880073237917,1.0180392631723882,,,,,,,,,-0.00015918993447128216,-4.712870124484249e-05,-0.00011206123322643968,,,,1.017999187040163,,,-542560.73,
2025-06-09,1.017,1.048,1.017,1.038,1.038,1.016,461883.23,0.021653543307086576,0.02142243558740671,,1.0206489675516226,,,,1.0223697645006236,1.0215891767434622,,,,,,,,,0.0007805877571613884,0.00016234425291199585,0.0006182435042493925,,,,1.0217808457145396,,,-80677.5,
2025-06-10,1.037,1.037,1.011,1.022,1.022,1.038,220338.66,-0.015414258188824692,-0.015534292962184233,,1.0049164208456245,,,,1.0222926003485628,1.0216553705496028,,,,,,,,,0.0006372297989600817,0.00027646817985202366,0.00036076161910805803,,,,1.0218187276339858,,,-301016.16000000003,
2025-06-11,1.017,1.026,1.016,1.024,1.024,1.022,137048.63,0.001956947162426559,0.001955034835803295,,1.0068829891838742,,,,1.0226303847710487,1.0220028961056544,,,,,,,,,0.0006274886653943046,0.0003575556534338992,0.0002699330119604054,,,,1.0221686143873963,,,-163967.53000000003,
2025-06-12,1.02,1.026,1.017,1.019,1.019,1.024,96646.34,-0.004882812500000111,-0.004894772376728392,,1.0019665683382497,,,,1.0219424282678637,1.0215885256693247,,,,,,,,,0.0003539025985390687,0.0003567371570779116,-2.834558538842896e-06,,,,1.0216914485161726,,,-260613.87000000002,
2025-06-13,1.023,1.044,1.018,1.035,1.035,1.019,294038.23,0.015701668302257055,0.015579672476744575,,1.0176991150442476,,,,1.0243316490545524,1.0233279981387744,,,,,,,,,0.0010036509157780316,0.0004982781910576342,0.0005053727247203973,,,,1.023590483323902,,,33424.35999999996,
2025-06-16,1.036,1.041,1.025,1.035,1.035,1.035,184722.1,0.0,0.0,,1.0176991150442476,,,,1.026228446829955,1.0247620874762908,,,,,,,,,0.0014663593536641262,0.0007061814250291793,0.0007601779286349468,,,,1.0251447807269523,,,33424.35999999996,
2025-06-17,1.035,1.041,1.024,1.037,1.037,1.035,125806.51,0.0019323671497584183,0.001930502530057845,,1.0196656833824973,,,,1.028098797666011,1.0261957567210476,,,,,,,,,0.0019030409449634078,0.0009594784819863155,0.0009435624629770923,,,,1.0266962025015163,,,159230.86999999994,
2025-06-18,1.038,1.06,1.036,1.048,1.048,1.037,259240.16,0.010607521697203692,0.010551656651460363,,1.0304818092428711,,,,1.03148733701376,1.0286446327284824,,,,,,71.10081426222722,-17.647058823529413,,0.002842704285277664,0.0013534507251392928,0.0014892535601383713,82.35294117647058,,0.019071428571428597,1.0293881984313131,,,418471.0299999999,
2025-06-19,1.048,1.048,1.019,1.032,1.032,1.048,279628.46,-0.01526717557251911,-0.015384918839479456,,1.014749262536873,,,,1.0315732168404392,1.0290076012760978,,,,,,55.25257524705336,-52.83018867924517,,0.002565615564341428,0.0016047246067256596,0.0009608909576157684,47.16981132075483,,0.019142857142857177,1.029708269624269,,,138842.5699999999,
2025-06-20,1.035,1.035,1.014,1.017,1.017,1.032,346263.02,-0.01453488372093037,-0.01464154999294823,,0.9999999999999998,,,,1.0291648778542284,1.027751507542528,,,,,,45.10261921657649,-81.13207547169814,,0.0014133703117003016,0.0015653453193200503,-0.00015197500761974874,18.867924528301845,49.46355900850909,0.019428571428571444,1.0281922970883475,,,-207420.45000000013,
